kind,name,state,lat,lon
zip,02558,,41.746275,-70.651689
zip,02559,,41.690243,-70.616283
zip,02561,,41.767811,-70.532854
zip,02562,,41.787984,-70.527592
zip,02563,,41.751133,-70.502518
zip,02564,,41.27188,-69.984526
zip,02568,,41.449404,-70.61636
zip,02571,,41.75143,-70.699352
zip,02575,,41.394406,-70.656447
zip,02576,,41.772221,-70.762948
zip,02584,,41.257578,-70.005294
zip,02601,,41.661161,-70.293197
zip,02630,,41.706756,-70.312489
zip,02631,,41.747513,-70.066223
zip,02632,,41.659097,-70.346877
zip,02633,,41.687361,-69.98016
zip,02635,,41.624054,-70.439397
zip,02637,,41.705726,-70.270928
zip,02638,,41.730245,-70.197392
zip,02639,,41.668067,-70.136979
zip,02641,,41.753951,-70.155393
zip,02642,,41.8416,-69.974973
zip,02643,,41.75354,-69.934661
zip,02644,,41.683488,-70.510786
zip,02645,,41.701286,-70.061663
zip,02646,,41.670596,-70.071449
zip,02647,,41.630127,-70.310144
zip,02648,,41.670375,-70.412035
zip,02649,,41.617623,-70.492713
zip,02650,,41.701947,-69.961453
zip,02652,,42.049534,-70.094987
zip,02653,,41.769125,-69.97358
zip,02655,,41.627984,-70.392013
zip,02657,,42.059829,-70.200407
zip,02659,,41.681474,-70.023529
zip,02660,,41.708526,-70.156582
zip,02663,,41.89754,-69.969907
zip,02664,,41.674776,-70.194279
zip,02666,,41.985387,-70.037739
zip,02667,,41.923389,-70.021044
zip,02668,,41.714328,-70.356
zip,02670,,41.660103,-70.170681
zip,02671,,41.670336,-70.111068
zip,02672,,41.6357,-70.313634
zip,02673,,41.652948,-70.247383
zip,02675,,41.70395,-70.231552
zip,02702,,41.785113,-71.059047
zip,02703,,41.931653,-71.294503
zip,02713,,41.427083,-70.885662
zip,02715,,41.805594,-71.157707
zip,02717,,41.758629,-70.987625
zip,02718,,41.862486,-71.01169
zip,02719,,41.633667,-70.871362
zip,02720,,41.727137,-71.109858
zip,02721,,41.674429,-71.148532
zip,02723,,41.692208,-71.132132
zip,02724,,41.683068,-71.177888
zip,02725,,41.720043,-71.188272
zip,02726,,41.7597,-71.144592
zip,02738,,41.706162,-70.750164
zip,02739,,41.665644,-70.815876
zip,02740,,41.638171,-70.938398
zip,02743,,41.709599,-70.898111
zip,02744,,41.606252,-70.913632
zip,02745,,41.702696,-70.947057
zip,02746,,41.663913,-70.94757
zip,02747,,41.658,-71.01346
zip,02748,,41.553084,-70.971453
zip,02760,,41.972567,-71.334375
zip,02762,,42.012838,-71.336188
zip,02763,,41.966866,-71.308574
zip,02764,,41.851929,-71.153598
zip,02766,,41.965341,-71.18178
zip,02767,,41.940996,-71.048499
zip,02769,,41.846878,-71.24487
zip,02770,,41.760864,-70.838956
zip,02771,,41.839798,-71.318047
zip,02777,,41.758163,-71.214181
zip,02779,,41.838061,-71.077615
zip,02780,,41.909112,-71.118346
zip,02790,,41.599176,-71.082371
zip,02791,,41.530554,-71.084996
zip,02802,,41.95213,-71.456233
zip,02804,,41.433033,-71.770061
